surah,ayah,arabic_text,translation,footnotes
112,1,قُلۡ هُوَ ٱللَّهُ أَحَدٌ,"Sag: Er ist Allah, Einer,",
112,2,ٱللَّهُ ٱلصَّمَدُ,"Allah, der Überlegene.",
112,3,لَمۡ يَلِدۡ وَلَمۡ يُولَدۡ,"Er hat nicht gezeugt und ist nicht gezeugt worden,",
112,4,وَلَمۡ يَكُن لَّهُۥ كُفُوًا أَحَدُۢ,und niemand ist Ihm jemals gleich.,
