surah,ayah,arabic_text,translation,footnotes
99,1,إِذَا زُلۡزِلَتِ ٱلۡأَرۡضُ زِلۡزَالَهَا,کاتێك زەوی ھاتە لەرزە بەلەرزینی خۆی ,
99,2,وَأَخۡرَجَتِ ٱلۡأَرۡضُ أَثۡقَالَهَا,وە زەوی ھەرچی شتی قورس وگرانی(ناوی) ھەیە ھەمووی فڕێدایە دەرەوە ,
99,3,وَقَالَ ٱلۡإِنسَٰنُ مَا لَهَا,وە مرۆڤ لەو ڕۆژەدا دەڵێ: ئەوە زەوی چیەتی ؟ ,
99,4,يَوۡمَئِذٖ تُحَدِّثُ أَخۡبَارَهَا,لەو ڕۆژەدا(زەوی) دەنگ وباسی خۆی دەگێڕێتەوە ,
99,5,بِأَنَّ رَبَّكَ أَوۡحَىٰ لَهَا,کە پەروەردگاری تۆ (وای) وەحی بۆ کردوە ,
99,6,يَوۡمَئِذٖ يَصۡدُرُ ٱلنَّاسُ أَشۡتَاتٗا لِّيُرَوۡاْ أَعۡمَٰلَهُمۡ,لەو ڕۆژەدا خەڵکی دەردەچن بەپەڕاگەندە و پەشێوی تا(پاداشتی) کردەوەی خۆیان نیشان بدرێت ,
99,7,فَمَن يَعۡمَلۡ مِثۡقَالَ ذَرَّةٍ خَيۡرٗا يَرَهُۥ,ئەمجا ھەرکەسێك بە ئەندازەی ھەرە ووردیلەیەك چاکەی کردبێت دەیبینێتەوە ,
99,8,وَمَن يَعۡمَلۡ مِثۡقَالَ ذَرَّةٖ شَرّٗا يَرَهُۥ,وە ھەر کەسێك بە ئەندازەی ھەرە ووردیلەیەك خراپەی کردبێت دەیبینێتەوە ,
