surah,ayah,arabic_text,translation,footnotes
93,1,وَٱلضُّحَىٰ,سوێند بە چێشتەنگاو ,
93,2,وَٱلَّيۡلِ إِذَا سَجَىٰ,وە سوێند بەشەو کاتێك کە ئارام دەگرێت (بزرنگێتەوە) ,
93,3,مَا وَدَّعَكَ رَبُّكَ وَمَا قَلَىٰ,پەروەردگارت وازی لێ نەھێناویت ولێت دڵگیر نەبووە ( ئەی موحوممەد ﷺ) ,
93,4,وَلَلۡأٓخِرَةُ خَيۡرٞ لَّكَ مِنَ ٱلۡأُولَىٰ,وە(پاداشتی) دوا ڕۆژ بۆتۆ چاکترە لە دونیا ,
93,5,وَلَسَوۡفَ يُعۡطِيكَ رَبُّكَ فَتَرۡضَىٰٓ,سوێند بەخوا لەمەولا پەروەردگارت ئەوەندەت پێ دەبەخشێت کە ڕازی ببیت ,
93,6,أَلَمۡ يَجِدۡكَ يَتِيمٗا فَـَٔاوَىٰ,ئایا تۆی نەبینی بەھەتیووی وحەواندیتیەوە ,
93,7,وَوَجَدَكَ ضَآلّٗا فَهَدَىٰ,وە تۆی نەبینی بەسەر لێ شێواوی وڕێنمونی کردییت ,
93,8,وَوَجَدَكَ عَآئِلٗا فَأَغۡنَىٰ,وە ئایا تۆی نەبینی بەھەژاری ودەوڵەمەندی کردیت ,
93,9,فَأَمَّا ٱلۡيَتِيمَ فَلَا تَقۡهَرۡ,کەواتە (تۆش) ھەتیوو مەچەوسێنەرەوە ,
93,10,وَأَمَّا ٱلسَّآئِلَ فَلَا تَنۡهَرۡ,وە ھەڵمەشاخێ بە پرسیارکەر (ھەژارو سواڵکەر) دا ,
93,11,وَأَمَّا بِنِعۡمَةِ رَبِّكَ فَحَدِّثۡ,وە نیعمەت وبەخششی پەروەردگارت دەربخە (بەیارمەتیدانی ھەژاران) ,
