surah,ayah,arabic_text,translation,footnotes
84,1,إِذَا ٱلسَّمَآءُ ٱنشَقَّتۡ,کاتێك کە ئاسمان لەت بوو ,
84,2,وَأَذِنَتۡ لِرَبِّهَا وَحُقَّتۡ,وە ملکەچی کرد بۆ پەروەردگاری ودەبێ ھەرواش بێت ,
84,3,وَإِذَا ٱلۡأَرۡضُ مُدَّتۡ, وساتێك کە زەوی ڕاکێشرا وپانکرایەوە (ڕاخرا) ,
84,4,وَأَلۡقَتۡ مَا فِيهَا وَتَخَلَّتۡ,وە ئەوەی تێیدابوو فڕێیدا وھیچی لەناودا نەما ,
84,5,وَأَذِنَتۡ لِرَبِّهَا وَحُقَّتۡ,وە ملکەچی کرد بۆ پەروەردگاری ودەبێ ھەرواش بێت ,
84,6,يَٰٓأَيُّهَا ٱلۡإِنسَٰنُ إِنَّكَ كَادِحٌ إِلَىٰ رَبِّكَ كَدۡحٗا فَمُلَٰقِيهِ,ئەی ئینسان تۆ بێگومان تێکۆشەریت بەرەو پەروەردگارت بەتێکۆشان ! ئەوسا پێی دەگەیت ,
84,7,فَأَمَّا مَنۡ أُوتِيَ كِتَٰبَهُۥ بِيَمِينِهِۦ,ئەمجا ئەو کەسەی کە نامەی(کردەوەی) درایە دەستی ڕاستی ,
84,8,فَسَوۡفَ يُحَاسَبُ حِسَابٗا يَسِيرٗا,ئەوسا پرسینەوەیەکی سووك وئاسانی لەگەڵ دەکرێت ,
84,9,وَيَنقَلِبُ إِلَىٰٓ أَهۡلِهِۦ مَسۡرُورٗا,وە بەدڵخۆشی دەگەڕێتەوە بۆ لای کەسوکاری ,
84,10,وَأَمَّا مَنۡ أُوتِيَ كِتَٰبَهُۥ وَرَآءَ ظَهۡرِهِۦ,وە ئەو کەسەی نامەی لە پشتەوە درایە دەستی ,
84,11,فَسَوۡفَ يَدۡعُواْ ثُبُورٗا, ئەوە بە زووی داوای مردنی خۆی دەکات ,
84,12,وَيَصۡلَىٰ سَعِيرًا,وە دەچێتە دۆزەخەوە ,
84,13,إِنَّهُۥ كَانَ فِيٓ أَهۡلِهِۦ مَسۡرُورًا,(چونکە) بێگومان ئەو لەناو کەسوكاریدا دڵخۆش بووە ,
84,14,إِنَّهُۥ ظَنَّ أَن لَّن يَحُورَ,وە ئەو وای گومان دەبرد، کە ھەرگیز ناگەڕێتەوە (لای خوا) ,
84,15,بَلَىٰٓۚ إِنَّ رَبَّهُۥ كَانَ بِهِۦ بَصِيرٗا, نەخێر وانیە ! چونکە بەڕاستی پەروەردگاری ئەو ئاگادار بووە بەو ,
84,16,فَلَآ أُقۡسِمُ بِٱلشَّفَقِ,سوێند بە سووریی کەناری ئاسمان ,
84,17,وَٱلَّيۡلِ وَمَا وَسَقَ,وە بەشەو وئەو شتانەی کە کۆیان دەکاتەوە ,
84,18,وَٱلۡقَمَرِ إِذَا ٱتَّسَقَ,وە بەمانگ کاتێك کە پڕ دەبێتەوە ,
84,19,لَتَرۡكَبُنَّ طَبَقًا عَن طَبَقٖ,(ئێوە) تێ ئەپەڕن لە حاڵێکەوە بۆ حاڵێکی تر ,
84,20,فَمَا لَهُمۡ لَا يُؤۡمِنُونَ,ئیتر بۆچی بڕوا ناھێنن ؟ ,
84,21,وَإِذَا قُرِئَ عَلَيۡهِمُ ٱلۡقُرۡءَانُ لَا يَسۡجُدُونَۤ۩,وە کاتێك کە قورئانیان بۆ بخوێنرێتەوە سوژدە نابەن (ملكەچی ناکەن) ,
84,22,بَلِ ٱلَّذِينَ كَفَرُواْ يُكَذِّبُونَ,بەڵام ئەوانەی کە بێ بڕوان بە درۆی ئەزانن ,
84,23,وَٱللَّهُ أَعۡلَمُ بِمَا يُوعُونَ,وە خوا چاك ئاگادار وزانایە بەوەی کە لەدڵی دەگرن ,
84,24,فَبَشِّرۡهُم بِعَذَابٍ أَلِيمٍ,کەواتە مژدەیان بدەرێ بە سزای سەختی (قیامەت) ,
84,25,إِلَّا ٱلَّذِينَ ءَامَنُواْ وَعَمِلُواْ ٱلصَّٰلِحَٰتِ لَهُمۡ أَجۡرٌ غَيۡرُ مَمۡنُونِۭ,بەڵام ئەوانەی کە بڕوایان ھێناوە وکردەوە باشەکانیان کردووە، بۆ ئەوان ھەیە پاداشتی بێ بڕانەوە ,
