surah,ayah,arabic_text,translation,footnotes
93,1,وَٱلضُّحَىٰ,1. Yalli wallaqental xiibite.,
93,2,وَٱلَّيۡلِ إِذَا سَجَىٰ,2. Kaadu bari diteh mudugi yakke waqdil xiibite.,
93,3,مَا وَدَّعَكَ رَبُّكَ وَمَا قَلَىٰ,"3. Nabiyow ku Rabbi koo cabe weeh, koo anqibe weemil.",
93,4,وَلَلۡأٓخِرَةُ خَيۡرٞ لَّكَ مِنَ ٱلۡأُولَىٰ,"4. Kaadu diggah, wadirsitto (akecra) naharsittok (addunyak) koh tayseemil.",
93,5,وَلَسَوۡفَ يُعۡطِيكَ رَبُّكَ فَتَرۡضَىٰٓ,"5. Kaadu ku Rabbi sarroh (akeeral) kulli niqmat koh aceeleeh, kaat leedettooh ruffu kaat axcetto.",
93,6,أَلَمۡ يَجِدۡكَ يَتِيمٗا فَـَٔاوَىٰ,"6. Nabiyow ku Rabbi qayxixxuh koo geeh, aracay elle orobta koh maabinnaa? abeh.",
93,7,وَوَجَدَكَ ضَآلّٗا فَهَدَىٰ,"7. Kaadu kitab kee iimaan kinnim aaxige waa numuy garcit yanih koo geeh, tirri koo mahannaa?",
93,8,وَوَجَدَكَ عَآئِلٗا فَأَغۡنَىٰ,"8. Kaadu tu malih koo geeh, koo magaddalisinnaa?",
93,9,فَأَمَّا ٱلۡيَتِيمَ فَلَا تَقۡهَرۡ,"9. Toysa atu toh teexegek, qayxixxu Íe cakkik ma gutqin.",
93,10,وَأَمَّا ٱلسَّآئِلَ فَلَا تَنۡهَرۡ,"10.Kaadu kaliaci aba numuh tu gactek, kaa ma xiiriyinay meqe qangara kaal gacis.",
93,11,وَأَمَّا بِنِعۡمَةِ رَبِّكَ فَحَدِّثۡ,"11.Ku Rabbih niqmatah tugactek, kaat walalaay kaa elle faatit!.",
