surah,ayah,arabic_text,translation,footnotes
100,1,وَٱلۡعَٰدِيَٰتِ ضَبۡحٗا,1. Yalli qaduwwí fanah sissikuk yarde faarisiy fuftoh fuf iyyal xiibite.,
100,2,فَٱلۡمُورِيَٰتِ قَدۡحٗا,2. Edde luk xukuuqunut ardi gibdah xinkilliq yayyaaqe faarisil xiibite.,
100,3,فَٱلۡمُغِيرَٰتِ صُبۡحٗا,3. Edde luk qaduwwi maaca warara faarisil xiibite usuk garcit (karcit) anuk.,
100,4,فَأَثَرۡنَ بِهِۦ نَقۡعٗا,4. Tokkel is abtah tan ardih gibdah sawar (fulle) fuluk hayta.,
100,5,فَوَسَطۡنَ بِهِۦ جَمۡعًا,5. Kaadu woo ardat isi macaxu qaduwwi macaxih addal macsissal xiibite.,
100,6,إِنَّ ٱلۡإِنسَٰنَ لِرَبِّهِۦ لَكَنُودٞ,"6. Diggah, seehadayti isi Rabbih niqmat yangaddi kinni.",
100,7,وَإِنَّهُۥ عَلَىٰ ذَٰلِكَ لَشَهِيدٞ,7. Kaadu diggah usuk wohul isi nafsil sumaaqita num kinni.,
100,8,وَإِنَّهُۥ لِحُبِّ ٱلۡخَيۡرِ لَشَدِيدٌ,"8. Kaadu diggah, usuk maaluh gibdi kacanu le num kinni.",
100,9,۞ أَفَلَا يَعۡلَمُ إِذَا بُعۡثِرَ مَا فِي ٱلۡقُبُورِ,9. Tokkel mayaaxiga innaa! seehadayti kaa qambaltam magooqat enni ittam Yalli yayyaaqu waa waqdi cisab kee galtoh?,
100,10,وَحُصِّلَ مَا فِي ٱلصُّدُورِ,10. Kaadu umaanee kee maqaanek alilwat qellisimak sugtem geytimtu waytam mayaaxiga innaa?,
100,11,إِنَّ رَبَّهُم بِهِمۡ يَوۡمَئِذٖ لَّخَبِيرُۢ,11. Diggah ken Rabbi ken kee ken taamoomik woo ayro adda yaaxigi kinni.,
