surah,ayah,arabic_text,translation,footnotes
91,1,وَٱلشَّمۡسِ وَضُحَىٰهَا,"Ndahiye izuba n’urumuri rwaryo,",
91,2,وَٱلۡقَمَرِ إِذَا تَلَىٰهَا,"N’ukwezi igihe kurikurikiye,",
91,3,وَٱلنَّهَارِ إِذَا جَلَّىٰهَا,"N’amanywa igihe agaragaje urumuri (rw’izuba),",
91,4,وَٱلَّيۡلِ إِذَا يَغۡشَىٰهَا,"N’ijoro igihe riritwikiriye,",
91,5,وَٱلسَّمَآءِ وَمَا بَنَىٰهَا,"N’ikirere ndetse n’Uwagihanze,",
91,6,وَٱلۡأَرۡضِ وَمَا طَحَىٰهَا,"N’isi n’Uwayirambuye,",
91,7,وَنَفۡسٖ وَمَا سَوَّىٰهَا,Na roho n’uwayitunganyije;,
91,8,فَأَلۡهَمَهَا فُجُورَهَا وَتَقۡوَىٰهَا,"Hanyuma akayigaragariza ikibi n’icyiza,",
91,9,قَدۡ أَفۡلَحَ مَن زَكَّىٰهَا,"Mu by’ukuri uweza roho ye (akubaha Allah kandi agakora ibikorwa byiza) yaratsinze,",
91,10,وَقَدۡ خَابَ مَن دَسَّىٰهَا,"Kandi rwose uwatereranye roho ye ari mu gihombo,",
91,11,كَذَّبَتۡ ثَمُودُ بِطَغۡوَىٰهَآ,"Abantu ba Thamudu bahinyuye (Intumwa yabo) kubera kwigomeka,",
91,12,إِذِ ٱنۢبَعَثَ أَشۡقَىٰهَا,"Ubwo ubarusha ububi yahagurukanaga ibakwe (akajya kwica ingamiya y’imbyeyi),",
91,13,فَقَالَ لَهُمۡ رَسُولُ ٱللَّهِ نَاقَةَ ٱللَّهِ وَسُقۡيَٰهَا,"Nuko Intumwa ya Allah (Swaleh) irababwira iti “Muramenye! Iyo ni ingamiya ya Allah (ntimuyigirire nabi), kandi ntimuyibuze gushoka!”",
91,14,فَكَذَّبُوهُ فَعَقَرُوهَا فَدَمۡدَمَ عَلَيۡهِمۡ رَبُّهُم بِذَنۢبِهِمۡ فَسَوَّىٰهَا,"Ariko baramuhinyuye (ya ngamiya) barayica. Nuko Nyagasani wabo arabarimbura ku bw’icyaha cyabo, ndetse bose abarimbura mu buryo bureshya (baba abakuru n’abato, abakire n’abakene, ndetse n’abakomeye n’abaciriritse).",
91,15,وَلَا يَخَافُ عُقۡبَٰهَا,Kandi (Allah) ntatinya ingaruka zabyo.,
