surah,ayah,arabic_text,translation,footnotes
110,1,إِذَا جَآءَ نَصۡرُ ٱللَّهِ وَٱلۡفَتۡحُ,"যেতিয়া আল্লাহৰ সহায় আৰু বিজয় আহিব,",
110,2,وَرَأَيۡتَ ٱلنَّاسَ يَدۡخُلُونَ فِي دِينِ ٱللَّهِ أَفۡوَاجٗا,"আৰু তুমি মানুহক দলে দলে আল্লাহৰ দ্বীনত প্ৰৱেশ কৰা দেখিবলৈ পাবা,",
110,3,فَسَبِّحۡ بِحَمۡدِ رَبِّكَ وَٱسۡتَغۡفِرۡهُۚ إِنَّهُۥ كَانَ تَوَّابَۢا,"তেতিয়া তুমি তোমাৰ প্ৰতিপালকৰ প্ৰশংসাৰ সৈতে তেওঁৰ পৱিত্ৰতা আৰু মহিমা ঘোষণা কৰিবা আৰু তেওঁৰ ওচৰত ক্ষমা প্ৰাৰ্থনা কৰিবা, নিশ্চয় তেওঁ তাওবা গ্ৰহণকাৰী।",
