surah,ayah,arabic_text,translation,footnotes
97,1,إِنَّآ أَنزَلۡنَٰهُ فِي لَيۡلَةِ ٱلۡقَدۡرِ,நிச்சயமாக நாம் இதை ‘கத்ர்’ இரவில் இறக்கினோம்.,
97,2,وَمَآ أَدۡرَىٰكَ مَا لَيۡلَةُ ٱلۡقَدۡرِ,(நபியே!) ‘கத்ர்’ இரவு என்னவென்று உமக்கு அறிவித்தது எது?,
97,3,لَيۡلَةُ ٱلۡقَدۡرِ خَيۡرٞ مِّنۡ أَلۡفِ شَهۡرٖ,‘கத்ர்’ இரவு ஆயிரம் மாதங்களைவிடச் சிறந்தது.,
97,4,تَنَزَّلُ ٱلۡمَلَٰٓئِكَةُ وَٱلرُّوحُ فِيهَا بِإِذۡنِ رَبِّهِم مِّن كُلِّ أَمۡرٖ,"அதில் வானவர்களும், ஜிப்ரீலும் தங்கள் இறைவனின் அனுமதிகொண்டு (அந்த ஆண்டுக்குரிய அல்லாஹ்வின்) எல்லாக் கட்டளைகளுடன் இறங்குகிறார்கள்.",
97,5,سَلَٰمٌ هِيَ حَتَّىٰ مَطۡلَعِ ٱلۡفَجۡرِ,ஸலாம் (-ஈடேற்றம்) உண்டாகுக! அது அதிகாலை உதயமாகும் வரை (நீடிக்கிறது).,
