surah,ayah,arabic_text,translation,footnotes
95,1,وَٱلتِّينِ وَٱلزَّيۡتُونِ,Tiiniifi Zaytuuniiniin (kakadha).,
95,2,وَطُورِ سِينِينَ,Gaara (Tulluu) xuuri Siiniinaatiinis.,
95,3,وَهَٰذَا ٱلۡبَلَدِ ٱلۡأَمِينِ,Biyya nagaa kanaanis (nin kakadha).,
95,4,لَقَدۡ خَلَقۡنَا ٱلۡإِنسَٰنَ فِيٓ أَحۡسَنِ تَقۡوِيمٖ,"Dhugumatti, Nuti nama dhaabbii irra gaarii ta'e keessatti isa uumne.",
95,5,ثُمَّ رَدَدۡنَٰهُ أَسۡفَلَ سَٰفِلِينَ,Ergasii bakka warra jalaa hundarra gadi aanaa ta'etti isa deebifne.,
95,6,إِلَّا ٱلَّذِينَ ءَامَنُواْ وَعَمِلُواْ ٱلصَّٰلِحَٰتِ فَلَهُمۡ أَجۡرٌ غَيۡرُ مَمۡنُونٖ,Isaan amananii gaggaarii dalagan malee isaaniif mindaa addaan hin cinnetu jira.,
95,7,فَمَا يُكَذِّبُكَ بَعۡدُ بِٱلدِّينِ,Kana booda maaltu galata [guyyaa Qiyaamaa] si kijibsiisisa (kijibsiisutti si kaase)?,
95,8,أَلَيۡسَ ٱللَّهُ بِأَحۡكَمِ ٱلۡحَٰكِمِينَ,Sila Rabbiin irra murteessaa murteessitootaa hin taanee?,
