surah,ayah,arabic_text,translation,footnotes
90,1,لَآ أُقۡسِمُ بِهَٰذَا ٱلۡبَلَدِ,ߒ ߧߋ߫ ߒ ߞߊ߬ߟߌ߬ ߟߊ߫ ߟߋ߬ ߛߏ ߢߌ߲߬ ߠߊ߫ ߛߎߋ߫,
90,2,وَأَنتَ حِلُّۢ بِهَٰذَا ٱلۡبَلَدِ,ߞߵߌߟߋ ߡߊߞߍߣߍ߲ ߕߏ߫ ߊ߬ߟߋ߬ ߛߏ ߢߌ߲߬ ߠߊ߫,
90,3,وَوَالِدٖ وَمَا وَلَدَ,ߊ߬ ߣߌ߫ ߒ ߧߋ߫ ߒ ߞߊ߬ߟߌ߬ ߟߊ߫ ߡߏߦߌߓߊ߮ ߣߌ߫ ߡߏߦߌߘߋ߲ ߠߊ߫,
90,4,لَقَدۡ خَلَقۡنَا ٱلۡإِنسَٰنَ فِي كَبَدٍ,ߒ ߞߏ߫ ߒ߬ߠߎ߫ ߞߊ߬ ߡߐ߱ ߘߊ߲߫ ߛߍ߱ ߟߋ߬ ߟߊ߫ ߘߋ߬,
90,5,أَيَحۡسَبُ أَن لَّن يَقۡدِرَ عَلَيۡهِ أَحَدٞ,ߊ߬ ߦߴߊ߬ ߢߣߊ߫ ( ߏ߬ ߘߐ߫ ) ߟߋ߫ ߓߊ߬ ߞߏ߫ ߝߏߦߌ߬ ߕߍߣߊ߬ ߛߋ߫ ߟߴߊ߬ߟߋ߬ ߟߊ߫؟,
90,6,يَقُولُ أَهۡلَكۡتُ مَالٗا لُّبَدًا,ߊ߬ ߦߴߊ߬ ߝߐ߫ ߟߊ߫ ߛߊ߫ ߞߏ߫ ߒ ߓߘߊ߫ ߣߊ߲߬ߝߟߏ߬ ߛߌߦߊߡߊ߲߫ ߘߏ߲߬ ߘߟߊ߫,
90,7,أَيَحۡسَبُ أَن لَّمۡ يَرَهُۥٓ أَحَدٌ,ߊ߬ ߦߴߊ߬ ߢߣߊ߫ ( ߏ߬ ߘߐ߫ ) ߟߋ߫ ߓߊ߬ ߞߏ߫ ߡߐ߰ ߛߌ߫ ߡߴߊ߬ ߦߋ߫؟,
90,8,أَلَمۡ نَجۡعَل لَّهُۥ عَيۡنَيۡنِ,ߊ߬ ߝߐ߫ ߒ߬ߠߎ߫ ߟߋ߬ ߡߊ߫ ߢߊ߫ ߝߌ߬ߟߊ߬ ߞߍ߫ ߊ߬ ߟߊ߫ ߘߍ߫؟,
90,9,وَلِسَانٗا وَشَفَتَيۡنِ,ߊ߬ ߣߌ߫ ߣߍ߲߬ ߣߌ߫ ߘߊߜߟߏ߫ ߝߌ߬ߟߊ߫؟,
90,10,وَهَدَيۡنَٰهُ ٱلنَّجۡدَيۡنِ,ߊ߬ ߣߴߊ߲ ߞߵߊ߬ ߟߊߛߌ߲߫ ߛߌߟߊ߫ ߝߌ߬ߟߊ߫ ߡߊ߬,
90,11,فَلَا ٱقۡتَحَمَ ٱلۡعَقَبَةَ,ߒ߬ߓߵߊ߬ ߕߍߣߊ߬ ߦߟߍ߬ ߟߊ߫ ߞߊߙߊ߲ߞߊߙߊ߲ ߠߊ߫ ߝߋߎ߫,
90,12,وَمَآ أَدۡرَىٰكَ مَا ٱلۡعَقَبَةُ,ߡߋ߬ߘߋ ߘߏ߲߬ ߞߵߌ ߟߊߟߐ߲ߠߌ߲߫ ߞߊߙߊ߲ߞߊߙߊ߲ ߠߊ߫؟,
90,13,فَكُّ رَقَبَةٍ,ߏ߬ ߦߋ߫ ߖߐ߲߬ ߞߊ߲ߤߙߐߦߊ ߟߋ߬ ߘߌ߫,
90,14,أَوۡ إِطۡعَٰمٞ فِي يَوۡمٖ ذِي مَسۡغَبَةٖ,ߥߟߊ߫ ߞߊ߬ ߘߊߥߎ߲ߠߌ߲ ߘߌ߫ ߞߐ߲ߞߐ߫ ߟߏ߲ ߘߏ߫ ߡߊ߬,
90,15,يَتِيمٗا ذَا مَقۡرَبَةٍ,ߡߊ߬ߡߐ߰ ߝߊߙߌߕߊ ߘߏ߫ ߡߊ߬,
90,16,أَوۡ مِسۡكِينٗا ذَا مَتۡرَبَةٖ,ߥߟߊ߫ ߘߐ߰ߕߐ߫ ߓߎ߬ߙߎ߲߬ߓߎ߬ߙߎ߲߬ߕߐ ߘߏ߫ ߡߊ߬,
