surah,ayah,arabic_text,translation,footnotes
93,1,وَٱلضُّحَىٰ,ߊ߰ ߒ ߣߌ߫ ߛߎ߬ߡߎ߲߬ߕߟߋ ߕߍ߫,
93,2,وَٱلَّيۡلِ إِذَا سَجَىٰ,ߊ߰ ߒ ߣߌ߫ ߛߎ ߕߍ߫ ߣߴߊ߬ ߞߏ߬ ߘߊ߫ ߕߎ߬ߡߊ ߡߍ߲,
93,3,مَا وَدَّعَكَ رَبُّكَ وَمَا قَلَىٰ,ߌ ߡߊ߰ߙߌ ߡߴߌ ߕߏ߫ ߸ ߊ߬ ߘߏ߲߬ ߡߴߌ ߞߐ߲߫ ߝߛߍߞߘߎ߫,
93,4,وَلَلۡأٓخِرَةُ خَيۡرٞ لَّكَ مِنَ ٱلۡأُولَىٰ,( ߌ ߟߊ߫ ߞߏ ߟߎ߬ ) ߟߊߓߊ߲ ߠߋ߬ ߞߏ߬ߣߌ߲߬ ߘߌߡߊ߲߫ ߌ ߟߴߊ߬ ߘߊߡߌߣߊ ߘߌ߫,
93,5,وَلَسَوۡفَ يُعۡطِيكَ رَبُّكَ فَتَرۡضَىٰٓ,ߞߏ߬ߣߌ߲߬ ߌ ߡߊ߰ߙߌ ߣߊ߬ߣߵߌ ߛߐ߫ ߝߏ߫ ߌ ߘߌ߫ ߘߌ߬ߢߍ߬,
93,6,أَلَمۡ يَجِدۡكَ يَتِيمٗا فَـَٔاوَىٰ,ߦߊ߯ߟߴߊ߬ ߡߴߌ ߛߐ߬ߘߐ߲߬ ߝߊߙߌߕߊ߫ ߘߌ߫ ߓߊ߬ ߞߵߌ ߟߊߘߊ߬ߙߏ߬؟,
93,7,وَوَجَدَكَ ضَآلّٗا فَهَدَىٰ,ߊ߬ ߣߴߊ߬ ߞߵߌ ߝߟߌ߬ߣߍ߲ ߛߐ߬ߘߐ߲߫ ߞߵߌ ߞߊ߲ߘߊ߫؟,
93,8,وَوَجَدَكَ عَآئِلٗا فَأَغۡنَىٰ,ߊ߬ ߣߴߊ߬ ߞߵߌ ߓߟߏߞߏߟߏ߲ ߛߐ߬ߘߐ߲߫ ߞߵߌ ߟߊߓߣߊ߬ߦߊ߫؟,
93,9,فَأَمَّا ٱلۡيَتِيمَ فَلَا تَقۡهَرۡ,ߒ߬ߓߊ߬ ߌ ߞߊߣߊ߬ ߝߊߙߌߕߊߣߍ߲ ߞߘߊߡߊ߫,
93,10,وَأَمَّا ٱلسَّآئِلَ فَلَا تَنۡهَرۡ,ߌ ߘߏ߲߬ ߞߊߣߊ߬ ߕߙߊߟߌߟߊ ߟߊߜߎ߬ߝߎ߲߬,
93,11,وَأَمَّا بِنِعۡمَةِ رَبِّكَ فَحَدِّثۡ,ߌ ߦߴߌ ߓߊ߬ߘߏ߬ ߌ ߡߊ߰ߙߌ ߟߊ߫ ߣߍߡߊ ( ߞߏߢߌߡߊߟߐ߲ ) ߠߋ߬ ߟߊ߫,
