surah,ayah,arabic_text,translation,footnotes
81,1,إِذَا ٱلشَّمۡسُ كُوِّرَتۡ,ߣߌ߫ ߕߋ߬ߟߋ ( ߢߊ ) ߓߎߙߎ߲ߞߐ߫ ߘߊ߫ ߕߎ߬ߡߊ ߡߍ߲,
81,2,وَإِذَا ٱلنُّجُومُ ٱنكَدَرَتۡ,ߊ߬ ߣߌ߫ ߣߌ߫ ߟߏ߬ߟߏ ߟߎ߬ ( ߦߋߟߋ߲ ) ߖߏ߬ߛߌ߬ ߘߊ߫ ߕߎ߬ߡߊ ߡߍ߲,
81,3,وَإِذَا ٱلۡجِبَالُ سُيِّرَتۡ,ߊ߬ ߣߌ߫ ߣߌ߫ ߞߎ߬ߙߎ ߟߎ߬ ߟߊߕߊ߯ ߘߊ߫ ߕߎ߬ߡߊ ߡߍ߲,
81,4,وَإِذَا ٱلۡعِشَارُ عُطِّلَتۡ,ߊ߬ ߣߌ߫ ߣߌ߫ ߓߊ߲߬ߘߊ߬ߕߊ ߟߎ߫ ߞߢߊ߬ ߘߊ߫ ( ߞߣߐߕߊ߬ ߟߊ߫ ) ߕߎ߬ߡߊ ߡߍ߲ ߜߟߊߞߏ߫,
81,5,وَإِذَا ٱلۡوُحُوشُ حُشِرَتۡ,ߊ߬ ߣߌ߫ ߣߌ߫ ߞߏ߲ߞߏ߫ ߓߌߦߊ߲ ߠߎ߬ ߟߊߘߍ߬ ߘߊ߫ ߕߎ߬ߡߊ ߡߍ߲,
81,6,وَإِذَا ٱلۡبِحَارُ سُجِّرَتۡ,ߊ߬ ߣߌ߫ ߣߌ߫ ߟߌ߲ߓߊ߲ ߠߎ߬ ߟߊߖߌ߯ߖߌ߯ ߘߊ߫ ߕߎ߬ߡߊ ߡߍ߲,
81,7,وَإِذَا ٱلنُّفُوسُ زُوِّجَتۡ,ߊ߬ ߣߌ߫ ߣߌ߫ ߣߌ ߟߎ߬ ߘߊߓߍ߲߫ ߘߊ߫ ( ߊ߬ ߝߊ߬ߘߌ ߟߎ߫ ߝߍ߬ ) ߕߎ߬ߡߊ ߡߍ߲,
81,8,وَإِذَا ٱلۡمَوۡءُۥدَةُ سُئِلَتۡ,ߊ߬ ߣߌ߫ ߣߌ߫ ߘߋ߲ߡߛߏ߫ ߢߣߊߡߊ߫ ߓߙߌ߬ߣߍ߲ ߢߌ߬ߣߌ߲߬ߞߊ߬ ߘߊ߫ ߕߎ߬ߡߊ ߡߍ߲,
81,9,بِأَيِّ ذَنۢبٖ قُتِلَتۡ,ߞߏ߫ ߊ߬ ߝߊ߰ ߘߊ߫ ߞߎ߲߬ ߞߋߟߋ߲ ߢߌ߬ߡߊ߲߫ ߠߋ߬ ߟߊ߫؟,
81,10,وَإِذَا ٱلصُّحُفُ نُشِرَتۡ,ߊ߬ ߣߌ߫ ߣߌ߫ ( ߗߋߥߊߟߌ ߛߓߍ߫ ) ߟߍߙߊ ߟߎ߬ ߘߐߝߍ߲߬ߛߍ߲߬ ߘߊ߫ ߕߎ߬ߡߊ ߡߍ߲,
