surah,ayah,arabic_text,translation,footnotes
30,1,الٓمٓ,ߊ ߟ ߡ,
30,2,غُلِبَتِ ٱلرُّومُ,ߛߋ߫ ߓߘߊ߫ ߞߍ߫ ߙߎ߯ߡߎ߲ ߠߎ߬ ߟߊ߫,
30,3,فِيٓ أَدۡنَى ٱلۡأَرۡضِ وَهُم مِّنۢ بَعۡدِ غَلَبِهِمۡ سَيَغۡلِبُونَ,ߖߡߊ߬ߣߊ ߡߊ߬ߛߎߘߎ߲ߧߊ ߘߐ߫ ، ߛߋ߫ ߞߍ ߞߐ ߊ߬ߟߎ߬ ߟߊ߫ ߊ߬ߟߎ߬ ߘߌߣߊ߬ ߛߋ߫,
30,4,فِي بِضۡعِ سِنِينَۗ لِلَّهِ ٱلۡأَمۡرُ مِن قَبۡلُ وَمِنۢ بَعۡدُۚ وَيَوۡمَئِذٖ يَفۡرَحُ ٱلۡمُؤۡمِنُونَ,ߛߊ߲߬ ߘߊߡߊ߲߫ ߞߘߐ߫ ߕߋ߲߬ ، ߓߊ ߞߏ ߦߋ߫ ߊߟߊ߫ ߓߟߏ߫ ߞߘߐ߬ߡߊ߲߫ ߊ߬ ߣߌ߫ ߞߐߟߊ߫ ، ߟߊߒߠߦߊߓߊ߮ ߟߎ߬ ߛߍߥߊߕߐ߫ ߏ߬ ߟߏ߲ ߠߋ߬,
30,5,بِنَصۡرِ ٱللَّهِۚ يَنصُرُ مَن يَشَآءُۖ وَهُوَ ٱلۡعَزِيزُ ٱلرَّحِيمُ,ߊߟߊ߫ ߟߊ߫ ߘߍ߬ߡߍ߲߬ߠߌ߲ ߠߊ߫ ، ߊ߬ ߦߋ߫ ߡߐ߰ ߟߋ߬ ߘߍ߬ߡߍ߲߬ ߠߊ߫ ߡߍ߲ ߓߊ߯ ߊ߬ ߘߌߦߊ߫ ߸ ߓߊ ߊ߬ߟߋ ߟߋ߫ ߣߌ߬ߣߌ߬ߟߊ ߘߌ߫ ߸ ߤߌߣߟߊ ߟߋ߬,
30,6,وَعۡدَ ٱللَّهِۖ لَا يُخۡلِفُ ٱللَّهُ وَعۡدَهُۥ وَلَٰكِنَّ أَكۡثَرَ ٱلنَّاسِ لَا يَعۡلَمُونَ,ߊߟߊ߫ ߟߊ߫ ߦߟߌߡߊߘߌߦߊ ߟߴߏ߬ ߘߌ߫ ، ߊߟߊ߫ ߘߏ߲߬ ߕߍ߫ ߊ߬ ߟߊ߫ ߦߟߌߡߊߘߌߦߊ ߝߘߏ߬ ߟߊ߫ ߸ ߞߏ߬ߣߌ߲߬ ߡߐ߱ ߝߊ߲߬ߓߊ ߟߋ߬ ߕߍ߫ ߏ߬ ߟߐ߲߫ ߠߊ߫,
30,7,يَعۡلَمُونَ ظَٰهِرٗا مِّنَ ٱلۡحَيَوٰةِ ٱلدُّنۡيَا وَهُمۡ عَنِ ٱلۡأٓخِرَةِ هُمۡ غَٰفِلُونَ,ߊ߬ߟߎ߬ ߦߋ߫ ߜߍ߫ ߘߐ߫ ߞߏ ߟߎ߫ ߟߋ߬ ߟߐ߲߫ ߠߊ߫ ߘߎߢߊ߫ ߢߣߊߡߦߊ ߘߐ߫ ߸ ߞߵߊ߬ߟߎ߫ ߖߊ߲߬ߓߐߣߍ߲ ߕߏ߫ ߛߎ߬ߟߊ߫ ߘߐ߫ ߔߏ߲߫,
30,8,أَوَلَمۡ يَتَفَكَّرُواْ فِيٓ أَنفُسِهِمۗ مَّا خَلَقَ ٱللَّهُ ٱلسَّمَٰوَٰتِ وَٱلۡأَرۡضَ وَمَا بَيۡنَهُمَآ إِلَّا بِٱلۡحَقِّ وَأَجَلٖ مُّسَمّٗىۗ وَإِنَّ كَثِيرٗا مِّنَ ٱلنَّاسِ بِلِقَآيِٕ رَبِّهِمۡ لَكَٰفِرُونَ,ߊ߬ߟߎ߬ ߕߍ߫ ߊ߬ߟߎ߬ ߡߙߌ߫ ߟߴߊ߬ߟߎ߫ ߖߘߍ߬ ߘߐ߫ ߓߊ߬ ߞߏ߫ ߊߟߊ߫ ߡߊ߫ ߛߊ߲ ߠߎ߬ ߣߌ߫ ߘߎ߱ ߣߴߊ߬ߟߎ߫ ߝߌ߬ߟߊ ߕߍߝߋ߲ ߠߎ߬ ߘߊ߲߫ ߝߏߦߌ߬ ߟߊ߫ ߝߏ߫ ߕߎ߬ߢߊ ߣߌ߫ ߛߕߊ߫ ߟߐ߯ߟߊߣߍ߲؟ ߞߏ߬ߣߌ߲߬ ߛߌߦߊߡߊ߲߫ ߓߍ߫ ߡߐ߱ ߟߎ߬ ߘߐ߫ ߏ߬ ߟߎ߫ ߓߊ߲߬ߣߍ߲߫ ߠߴߊ߬ߟߎ߫ ߡߊ߰ߙߌ ߓߍ߲߬ߢߐ߲߰ߦߊ ߡߊ߬,
30,9,أَوَلَمۡ يَسِيرُواْ فِي ٱلۡأَرۡضِ فَيَنظُرُواْ كَيۡفَ كَانَ عَٰقِبَةُ ٱلَّذِينَ مِن قَبۡلِهِمۡۚ كَانُوٓاْ أَشَدَّ مِنۡهُمۡ قُوَّةٗ وَأَثَارُواْ ٱلۡأَرۡضَ وَعَمَرُوهَآ أَكۡثَرَ مِمَّا عَمَرُوهَا وَجَآءَتۡهُمۡ رُسُلُهُم بِٱلۡبَيِّنَٰتِۖ فَمَا كَانَ ٱللَّهُ لِيَظۡلِمَهُمۡ وَلَٰكِن كَانُوٓاْ أَنفُسَهُمۡ يَظۡلِمُونَ,ߊ߬ߟߎ߬ ߕߍ߫ ߊ߬ߟߎ߬ ߘߐߕߊ߯ߡߊ߫ ߟߊ߫ ߘߎ߱ ߢߊߝߍ߬ ߓߊ߬ ߞߵߊ߬ ߝߟߍ߫ ߊ߬ߟߎ߬ ߢߍߓߊ߮ ߟߎ߬ ߟߊߓߊ߲ ߞߍ߫ ߘߊ߫ ߢߊ ߡߍ߲؟ ߏ߬ ߟߎ߬ ߛߍ߲ߓߍ ߜߍ߬ߟߍ߲߬ߡߊ߲߫ ߕߍ߬ߘߍ߫ ߊ߬ߟߎ ߘߌ߫ ߸ ߊ߬ ߣߴߏ߬ ߟߎ߫ ߞߊ߬ ߘߎ߱ ߛߣߍ߬ ߞߵߊ߬ ߟߐ߬ ߞߊ߬ ߕߊ߬ߡߌ߲߬ ߊ߬ߟߎ ߟߊ߫ ߟߐ߬ߟߌ ߘߐ߫ ߔߊߣߊ߲ߎ߲߫، ߞߋߟߊ ߟߎ߫ ߣߊ߬ ߘߴߏ߬ ߟߎ߫ ߡߊ߬ ߔߊߞߌ ߟߎ߬ ߘߌ߫ ߸ ߊߟߊ߫ ߡߊ߫ ߞߍ߫ ߓߊ߰ߓߊ߯ ߘߴߏ߬ ߟߎ߫ ߡߊ߬ ߘߋ߬ ߸ ߞߏ߬ߣߌ߲߬ ߏ߬ ߟߎ߫ ߟߋ߫ ߓߊ߰ ߘߴߊ߬ߟߎ߫ ߖߘߍ߬ ߡߊ߬,
30,10,ثُمَّ كَانَ عَٰقِبَةَ ٱلَّذِينَ أَسَٰٓـُٔواْ ٱلسُّوٓأَىٰٓ أَن كَذَّبُواْ بِـَٔايَٰتِ ٱللَّهِ وَكَانُواْ بِهَا يَسۡتَهۡزِءُونَ,ߏ߬ ߟߋ ߞߐ߫ ߸ ߖߎ߯ߡߊ߲߫ ߞߍߟߊ ߟߎ߬ ߟߊߓߊ߲ ߞߍ߫ ߘߊ߫ ߖߎ߯ߡߊ߲ ߘߌ߫ ߒ߬ ߠߊ߫ ߟߝߊߙߌ߫ ߡߊߛߐ߬ߛߐ ߟߴߊ߬ߟߎ߬ ߓߟߏ߫ ߸ ߓߊ ߊ߬ߟߎ߫ ߕߘߍ߬ ߦߟߍߓߐ߫ ߟߴߊ߬ ߘߐ߫ ߟߋ߬,
