surah,ayah,arabic_text,translation,footnotes
94,1,أَلَمۡ نَشۡرَحۡ لَكَ صَدۡرَكَ,ߦߊ߯ߟߊ߫ ߊ߲ ߡߴߌ ߛߌߛߌ ߦߙߌߥߊ߫ ߌ ߦߋ߫ ( ߟߊߒߠߦߊ ߞߊ߲ߘߊߟߌ ߟߊ߫ )؟,
94,2,وَوَضَعۡنَا عَنكَ وِزۡرَكَ,ߊ߬ ߣߴߊ߲ ߞߵߌ ߘߏ߬ߣߌ߲ ߓߐ߫ ߌ ߞߎ߲߬ ( ߌ ߟߊ߫ ߞߏ ߟߎ߫ ߣߐ߰ߦߊ ߟߊ߫ ),
94,3,ٱلَّذِيٓ أَنقَضَ ظَهۡرَكَ,ߏ߬ ߡߍ߲ ( ߕߎ߲߬ ) ߓߘߊ߫ ߜߟߌߦߊ߫ ߌ ߞߐ ߡߊ߬,
94,4,وَرَفَعۡنَا لَكَ ذِكۡرَكَ,ߊ߬ ߣߴߊ߲ ߞߵߌ ߞߏߝߐ ߟߊߥߊ߲߬ߞߊ߬ ߌ ߦߋ߫ ( ߟߊߒߠߦߊߓߊ߮ ߟߎ߫ ߣߍ߲߭ ߞߊ߲߬ ߒ ߕߐ߮ ߝߍ߬ ),
94,5,فَإِنَّ مَعَ ٱلۡعُسۡرِ يُسۡرًا,ߒ߬ߓߊ߬ ߣߐ߰ߦߊ ߦߋ߫ ߜߟߍ߬ߦߊ ߟߋ߫ ߝߍ߬ ߘߋ߬,
94,6,إِنَّ مَعَ ٱلۡعُسۡرِ يُسۡرٗا,ߣߐ߰ߦߊ ߦߋ߫ ߜߟߍ߬ߦߊ ߟߋ߫ ߝߍ߬ ߝߊ߯ߛߌ߫,
94,7,فَإِذَا فَرَغۡتَ فَٱنصَبۡ,ߒ߬ߓߊ߬ ߣߴߌ ߓߟߏߘߐߝߢߐ߫ ߘߊ߫ ߞߏߕߊ߲߫ ߸ ߌ ߦߴߌ ߖߘߍ߬ߟߊߛߍ߰ ( ߓߊ߬ߕߏ ߟߊ߫ ),
94,8,وَإِلَىٰ رَبِّكَ فَٱرۡغَب,ߊ߬ ߣߴߌ ߦߴߌ ( ߡߊ߬ߞߏ ߟߎ߫ ߦߊ߬ߙߊ) ߞߎ߲߬ߛߌ߲߫ ߌ ߡߊ߰ߙߌ ߟߊ߫,
