surah,ayah,arabic_text,translation,footnotes
74,1,يَٰٓأَيُّهَا ٱلۡمُدَّثِّرُ,ߤߍ߲߬ ߌߟߋ߬ ߘߌ߬ߛߊ߬ߕߌ߮,
74,2,قُمۡ فَأَنذِرۡ,ߌ ߥߟߌ߬ ߌ ߦߋ߫ ߖߊ߬ߛߙߋ߬ߡߊ߬ߟߊ ߞߍ߫,
74,3,وَرَبَّكَ فَكَبِّرۡ,ߊ߬ ߣߴߌ ߦߴߌ ߡߊ߰ߙߌ ߓߏ߲߬ߧߊ߬,
74,4,وَثِيَابَكَ فَطَهِّرۡ,ߊ߬ ߣߴߌ ߦߴߌ ߟߊ߫ ߝߊ߰ߣߌ߲ ߠߎ߬ ߛߊߣߌ߲ߧߊ߫,
74,5,وَٱلرُّجۡزَ فَٱهۡجُرۡ,ߊ߬ ߣߴߌ ߦߴߌ ߡߊߓߐ߫ ߞߛߐ ߟߊ߫,
74,6,وَلَا تَمۡنُن تَسۡتَكۡثِرُ,ߌ ߞߊߣߊ߬ ߛߐߟߌ ߞߍ߫ ߛߌߦߊߡߊ߲߫ ߡߊߛߐ߬ߘߐ߲߬ ߞߊߡߊ߬ ( ߌ ߟߊ߫ ߡߐ߰ ߛߐߕߊ ߟߊ߫ ) ߘߋ߬,
74,7,وَلِرَبِّكَ فَٱصۡبِرۡ,ߊ߬ ߣߴߌ ߦߴߌ ߡߎ߬ߢߎ߲߬ ߌ ߡߊ߰ߙߌ ߦߋ߫,
74,8,فَإِذَا نُقِرَ فِي ٱلنَّاقُورِ,ߒ߬ߓߊ߬ ߣߌ߫ ߓߘߎ ߝߍ߫ ߘߊ߫ ߕߎ߬ߡߊ ߡߍ߲,
74,9,فَذَٰلِكَ يَوۡمَئِذٖ يَوۡمٌ عَسِيرٌ,ߏ߬ ߟߏ߲ ߦߋ߫ ߟߏ߲߫ ߜߍߟߍ߲߫ ߘߌ߫ ߞߟߋ߫,
74,10,عَلَى ٱلۡكَٰفِرِينَ غَيۡرُ يَسِيرٖ,ߊ߬ ߣߐ߰ߡߊ߲߬ ߕߍ߫ ߓߊ߲߬ߓߊ߮ ߟߎ߫ ߡߊ߬ ߝߋߎ߫,
74,11,ذَرۡنِي وَمَنۡ خَلَقۡتُ وَحِيدٗا,ߒ ߣߊ߬ ߡߍ߲ ߘߊ߲߫ ߠߊ߫ ߒ ߞߋߟߋ߲߫ ߔߋ߫ ߒ ߣߴߏ߬ ߕߏ߫ ߢߐ߲߮ ߠߊ߫ ߗߐ߫,
74,12,وَجَعَلۡتُ لَهُۥ مَالٗا مَّمۡدُودٗا,ߒ ߣߊ߬ ߣߊ߲߬ߝߟߏ߬ ߦߙߌߥߊߣߍ߲ ߠߋ߬ ߘߌ߫ ߟߴߊ߬ ߡߊ߬,
74,13,وَبَنِينَ شُهُودٗا,ߊ߬ ߣߌ߫ ߘߋ߲ߞߍ ߟߎ߬ ߸ ߏ߬ ߟߎ߬ ߢߊ ߦߋ߫ ߜߍ ߘߐ߫,
74,14,وَمَهَّدتُّ لَهُۥ تَمۡهِيدٗا,ߊ߬ ߣߌ߫ ߒ ߞߊ߬ ߘߐ߬ߝߎ߬ߟߋ߲߬ߠߌ߲ ߞߍ߫ ߊ߬ ߦߋ߫ ߝߋ߲ߜߋ߲߫,
74,15,ثُمَّ يَطۡمَعُ أَنۡ أَزِيدَ,ߊ߬ ߟߐ߯ ߦߴߊ߬ ߟߊ߫ ߏ߬ ߓߍ߯ ߞߐ߫ ߒ ߧߴߏ߬ ߡߊߞߊ߬ߝߏ߬,
74,16,كَلَّآۖ إِنَّهُۥ كَانَ لِأٓيَٰتِنَا عَنِيدٗا,ߞߊ߯ߙߌ߫߹ ߓߊߏ߬ ߊ߬ ߞߍߣߍ߲߫ ߞߊߝߋߜߍߟߍ߲ ߠߋ߬ ߘߌ߫ ߒ߬ ߠߊ߫ ߟߝߊߙߌ ߟߎ߫ ߡߊ߬,
74,17,سَأُرۡهِقُهُۥ صَعُودًا,ߒ߬ ߓߍߣߵߊ߬ ߜߊ߬ߟߏ߲߬ߜߊ߬ߟߏ߲߬ ߘߐ߬ ߞߘߊߡߊ߫ ߟߋ߬ ߘߍ߯ ( ߊ߬ ߓߐ߫ ߢߊ߫ ߕߍ߫ ߡߍ߲ ߘߐ߫ ),
74,18,إِنَّهُۥ فَكَّرَ وَقَدَّرَ,ߓߊ ߊ߬ ߣߵߊ߬ ߡߙߌ߫ ߟߊ߫ ߟߋ߬ ߞߊ߬ ߖߊ߬ߕߋ߬ߡߌߘߊ ߞߍ߫ ( ߘߐ߬ߛߊߙߌ ߘߐߝߏ߲߰ߓߌ߬ߞߏ ߘߐ߫ ),
