surah,ayah,arabic_text,translation,footnotes
36,1,يسٓ,ߦߊߛߌߣ ߠߋ߬,
36,2,وَٱلۡقُرۡءَانِ ٱلۡحَكِيمِ,ߊ߰ ߒ ߣߌ߫ ߞߎ߬ߙߊ߬ߣߊ߫ ߥߘߋ߬ߥߘߋ߬ߣߍ߲ ߕߍ߫,
36,3,إِنَّكَ لَمِنَ ٱلۡمُرۡسَلِينَ,ߌߟߋ ߦߋ߫ ߞߋߟߊ ߟߎ߬ ߘߏ߫ ߟߋ߬ ߘߌ߫ ߘߋ߬,
36,4,عَلَىٰ صِرَٰطٖ مُّسۡتَقِيمٖ,ߛߌߟߊ߫ ߕߋߟߋ߲ߣߍ߲߫ ߞߊ߲߬ ߞߊ߬ߣߌ߲߫,
36,5,تَنزِيلَ ٱلۡعَزِيزِ ٱلرَّحِيمِ,ߣߌ߬ߣߌ߬ߟߊ ߤߌߣߟߊ ߟߊ߫ ߟߊ߬ߖߌ߰ߟߌ ߟߋ߬,
36,6,لِتُنذِرَ قَوۡمٗا مَّآ أُنذِرَ ءَابَآؤُهُمۡ فَهُمۡ غَٰفِلُونَ,ߛߴߌ ߘߌ߫ ߖߊ߬ߛߙߋ߬ߡߊ߬ߟߊ ߞߍ߫ ߡߌ߬ߙߌ߲߬ߘߌ߫ ߦߋ߫ ߸ ߖߊ߬ߛߙߋ߬ߡߊ߬ߟߊ߫ ߡߊ߫ ߞߍ߫ ߡߍ߲ ߠߎ߫ ߝߊ߬ ߟߎ߬ ߦߋ߫ ߸ ߏ߬ ߟߎ߫ ߖߊ߲߬ߓߐߣߍ߲߫ ߖߍ߬ߘߍ ߟߋ߬,
36,7,لَقَدۡ حَقَّ ٱلۡقَوۡلُ عَلَىٰٓ أَكۡثَرِهِمۡ فَهُمۡ لَا يُؤۡمِنُونَ,( ߞߐ߲߬ߞߐ߲߬ߒߡߊ ) ߞߎߡߊ ߜߋ߲ߜߋ߲ߦߊߣߍ߲߫ ߊ߬ߟߎ߫ ߝߊ߲߬ߓߊ ߡߊ߬ ߟߋ߬ ߸ ߊ߬ߟߎ߬ ߕߍ߫ ߞߍ߫ ߟߊ߫ ߟߊߒߠߦߊߓߊ߯ ߘߌ߫ ߏ߬ ߟߋ ߘߐ߫,
36,8,إِنَّا جَعَلۡنَا فِيٓ أَعۡنَٰقِهِمۡ أَغۡلَٰلٗا فَهِيَ إِلَى ٱلۡأَذۡقَانِ فَهُم مُّقۡمَحُونَ,ߊ߲ ߣߐ߬ ߞߏߟߏ߲ߜߊ߲ ߠߎ߫ ߟߋ߫ ߓߌ߬ߟߊ߬ ߟߴߊ߬ߟߎ߬ ߞߊ߲ߠߊ߫ ߞߊ߬ ߕߊ߯ ߛߋ߫ ߊ߬ߟߎ߫ ߓߏ߲߬ߓߏ߲ ߡߊ߬ ߸ ߊ߬ߟߎ߫ ߞߎ߲߭ ߠߎ߬ ߛߊ߲ߘߌߣߍ߲߫ ߏ߬ ߟߋ ߘߐ߫,
36,9,وَجَعَلۡنَا مِنۢ بَيۡنِ أَيۡدِيهِمۡ سَدّٗا وَمِنۡ خَلۡفِهِمۡ سَدّٗا فَأَغۡشَيۡنَٰهُمۡ فَهُمۡ لَا يُبۡصِرُونَ,ߊ߬ ߣߴߊ߲ ߞߊ߬ ߓߊ߬ߟߊ߲ ߞߍ߫ ߊ߬ߟߎ߬ ߢߍߕߐ߫ ߟߋ߬ ߞߊ߬ ߓߊ߬ߟߊ߲߬ ߞߍ߫ ߊ߬ߟߎ߬ ߞߕߐ߫ ߞߵߊ߬ߟߎ߫ ߞߎ߲߬ߠߊ߬ߓߌߘߌ߲߫ ߸ ߊ߬ߟߎ߬ ߕߍ߫ ߦߋߟߌ߫ ߞߍ߫ ߟߴߏ߬ ߟߋ ߘߐ߫,
36,10,وَسَوَآءٌ عَلَيۡهِمۡ ءَأَنذَرۡتَهُمۡ أَمۡ لَمۡ تُنذِرۡهُمۡ لَا يُؤۡمِنُونَ,ߌ ߞߊ߬ ߖߊ߬ߛߙߋ߬ߡߊ߬ߟߊ߫ ߞߍ߫ ߊ߬ߟߎ߬ ߦߋ߫ ߓߊ߬ ߸ ߥߟߊ߫ ߌ ߡߊ߫ ߖߊ߬ߛߙߋ߬ߡߊ߬ߟߊ߫ ߞߍ߫ ߊ߬ߟߎ߬ ߦߋ߫ ߏ߬ ߓߍ߯ ߦߊ߯ ߞߊ߲߫ ߊ߬ߟߎ߫ ߡߊ߬ ، ߓߊ ߊ߬ߟߎ߬ ߕߍߣߊ߬ ߞߍ߫ ߟߊ߫ ߟߊߒߠߦߊߓߊ߯ ߘߌ߫,
