surah,ayah,arabic_text,translation,footnotes
105,1,أَلَمۡ تَرَ كَيۡفَ فَعَلَ رَبُّكَ بِأَصۡحَٰبِ ٱلۡفِيلِ,ߌ ߡߴߊ߬ ߦߋ߫ ߓߊ߬ ߌ ߡߊ߰ߙߌ ߞߊ߬ ߡߍ߲ ߞߍ߫ ߛߋ߲߬ߓߊ߬ ߕߌ߮ ߟߎ߬ ߟߊ߫؟,
105,2,أَلَمۡ يَجۡعَلۡ كَيۡدَهُمۡ فِي تَضۡلِيلٖ,ߊ߬ ߡߴߊ߬ߟߎ߬ ߟߊ߫ ߝߍ߬ߙߍ ߢߡߊߞߍ߫ ߊ߬ߟߎ߫ ߡߊ߬ ߓߊ߬؟,
105,3,وَأَرۡسَلَ عَلَيۡهِمۡ طَيۡرًا أَبَابِيلَ,ߊ߬ ߣߴߊ߬ ߞߊ߬ ߞߣߐ߬ ߓߌ߮ ߗߋ߫ ߊ߬ߟߎ߬ ߞߊߡߊ߬,
105,4,تَرۡمِيهِم بِحِجَارَةٖ مِّن سِجِّيلٖ,ߏ߬ ߟߎ߫ ߞߵߊ߬ߟߎ߬ ߡߊߓߏ߲ߓߏ߲߫ ߣߊ߰ߘߌ߬ߝߘߊ߬ ߓߙߍ ߟߎ߬ ߟߊ߫,
105,5,فَجَعَلَهُمۡ كَعَصۡفٖ مَّأۡكُولِۭ,ߞߵߊ߬ߟߎ߬ ߞߍ߫ ߦߏ߫ ߢߊ߯ߡߊ-ߞߟߊ߫ ߢߌߡߌ߲ߣߍ߲ ߠߋ߬,
