surah,ayah,arabic_text,translation,footnotes
103,1,وَٱلۡعَصۡرِ,1. Prisiekiu Al-Asr (laiku)!,
103,2,إِنَّ ٱلۡإِنسَٰنَ لَفِي خُسۡرٍ,"2. Iš tiesų, žmogus yra nuostolyje,",
103,3,إِلَّا ٱلَّذِينَ ءَامَنُواْ وَعَمِلُواْ ٱلصَّٰلِحَٰتِ وَتَوَاصَوۡاْ بِٱلۡحَقِّ وَتَوَاصَوۡاْ بِٱلصَّبۡرِ,"3. išskyrus tuos, kurie patikėjo ir darė teisingus darbus, ir patarinėjo vienas kitam dėl tiesos, ir patarinėjo vienas kitam dėl kantrybės.",
