surah,ayah,arabic_text,translation,footnotes
95,1,وَٱلتِّينِ وَٱلزَّيۡتُونِ,"Анжирга қасам, зайтунга қасам;",
95,2,وَطُورِ سِينِينَ,Сийно тоғига қасам;,
95,3,وَهَٰذَا ٱلۡبَلَدِ ٱلۡأَمِينِ,Мана шу тинч-осойишта шаҳарга қасам.,
95,4,لَقَدۡ خَلَقۡنَا ٱلۡإِنسَٰنَ فِيٓ أَحۡسَنِ تَقۡوِيمٖ,"Дарҳақиқат, Биз инсонни энг гўзал шаклда яратдик.",
95,5,ثُمَّ رَدَدۡنَٰهُ أَسۡفَلَ سَٰفِلِينَ,Сўнгра уни асфала-софилинга қайтардик.,
95,6,إِلَّا ٱلَّذِينَ ءَامَنُواْ وَعَمِلُواْ ٱلصَّٰلِحَٰتِ فَلَهُمۡ أَجۡرٌ غَيۡرُ مَمۡنُونٖ,"Иймон келтириб, солиҳ амалларни қилган зотлар бундан мустасно. Улар учун битмас-туганмас ажр бордир.",
95,7,فَمَا يُكَذِّبُكَ بَعۡدُ بِٱلدِّينِ,"Бас, сени охиратни ёлғон дейишга нима мажбур қилур?!",
95,8,أَلَيۡسَ ٱللَّهُ بِأَحۡكَمِ ٱلۡحَٰكِمِينَ,Ахир Аллоҳ ҳукм қилгувчиларнинг энг адолатлиси эмасми?!,
