surah,ayah,arabic_text,translation,footnotes
113,1,قُلۡ أَعُوذُ بِرَبِّ ٱلۡفَلَقِ,"Katakanlah, ""Aku berlindung kepada Tuhan yang menguasai subuh (fajar),",
113,2,مِن شَرِّ مَا خَلَقَ,"dari kejahatan (makhluk yang) Dia ciptakan,",
113,3,وَمِن شَرِّ غَاسِقٍ إِذَا وَقَبَ,"dan dari kejahatan malam apabila telah gelap gulita,",
113,4,وَمِن شَرِّ ٱلنَّفَّٰثَٰتِ فِي ٱلۡعُقَدِ,"dan dari kejahatan (perempuan-perempuan) penyihir yang meniup pada buhul-buhul (talinya),",
113,5,وَمِن شَرِّ حَاسِدٍ إِذَا حَسَدَ,"dan dari kejahatan orang yang dengki apabila dia dengki.""",
