surah,ayah,arabic_text,translation,footnotes
1,1,بِسۡمِ ٱللَّهِ ٱلرَّحۡمَٰنِ ٱلرَّحِيمِ,"Dengan nama Allah Yang Maha Pengasih, Maha Penyayang.",
1,2,ٱلۡحَمۡدُ لِلَّهِ رَبِّ ٱلۡعَٰلَمِينَ,"Segala puji bagi Allah, Tuhan seluruh alam,",
1,3,ٱلرَّحۡمَٰنِ ٱلرَّحِيمِ,"Yang Maha Pengasih, Maha Penyayang,",
1,4,مَٰلِكِ يَوۡمِ ٱلدِّينِ,Pemilik hari pembalasan.1),"*1) Yaumiddīn (hari pembalasan), hari waktu manusia menerima pembalasan amalnya, baik atau buruk. Disebut juga yaumul qiyāmah, yaumul hisab dan sebagainya."
1,5,إِيَّاكَ نَعۡبُدُ وَإِيَّاكَ نَسۡتَعِينُ,Hanya kepada Engkaulah kami menyembah dan hanya kepada Engkaulah kami mohon pertolongan.,
1,6,ٱهۡدِنَا ٱلصِّرَٰطَ ٱلۡمُسۡتَقِيمَ,"Tunjukilah kami jalan yang lurus,2)","*2) Jalan yang lurus, yaitu jalan hidup yang benar, yang dapat membuat bahagia di dunia dan di akhirat."
1,7,صِرَٰطَ ٱلَّذِينَ أَنۡعَمۡتَ عَلَيۡهِمۡ غَيۡرِ ٱلۡمَغۡضُوبِ عَلَيۡهِمۡ وَلَا ٱلضَّآلِّينَ,"(yaitu) jalan orang-orang yang telah Engkau beri nikmat kepadanya; bukan (jalan) mereka yang dimurkai, dan bukan (pula jalan) mereka yang sesat.3)","*3) Mereka yang dimurkai, adalah mereka yang sengaja menentang ajaran Islam. Mereka yang sesat adalah mereka yang sengaja mengambil jalan lain selain ajaran Islam."
