surah,ayah,arabic_text,translation,footnotes
97,1,إِنَّآ أَنزَلۡنَٰهُ فِي لَيۡلَةِ ٱلۡقَدۡرِ,Sesungguhnya Kami telah menurunkannya (Al-Qur`an) pada malam qadar.919),"*919) Malam qadar mempunyai beberapa arti, di antaranya malam kemuliaan, karena pada malam itu permulaan diturunkannya Al-Qur`an dari Lauḥ Maḥfūẓ kepada Nabi Muhammad -ṣallallāhu 'alaihi wa sallam-."
97,2,وَمَآ أَدۡرَىٰكَ مَا لَيۡلَةُ ٱلۡقَدۡرِ,Dan tahukah kamu apakah malam kemuliaan itu?,
97,3,لَيۡلَةُ ٱلۡقَدۡرِ خَيۡرٞ مِّنۡ أَلۡفِ شَهۡرٖ,Malam kemuliaan itu lebih baik daripada seribu bulan.,
97,4,تَنَزَّلُ ٱلۡمَلَٰٓئِكَةُ وَٱلرُّوحُ فِيهَا بِإِذۡنِ رَبِّهِم مِّن كُلِّ أَمۡرٖ,Pada malam itu turun para malaikat dan Ruh (Jibril) dengan izin Tuhannya untuk mengatur semua urusan.,
97,5,سَلَٰمٌ هِيَ حَتَّىٰ مَطۡلَعِ ٱلۡفَجۡرِ,Sejahteralah (malam itu) sampai terbit fajar.,
