surah,ayah,arabic_text,translation,footnotes
97,1,إِنَّآ أَنزَلۡنَٰهُ فِي لَيۡلَةِ ٱلۡقَدۡرِ,Dájúdájú Àwa sọ al-Ƙur’ān kalẹ̀ nínú Òru Abiyì.[1],1. Ẹ wo ìtọsẹ̀-ọ̀rọ̀ sūrah al-’Isrọ̄’; 17:106.
97,2,وَمَآ أَدۡرَىٰكَ مَا لَيۡلَةُ ٱلۡقَدۡرِ,Kí sì ni ó mú ọ mọ ohun tó ń jẹ́ Òru Abiyì?,
97,3,لَيۡلَةُ ٱلۡقَدۡرِ خَيۡرٞ مِّنۡ أَلۡفِ شَهۡرٖ,Òru Abiyì lóore ju ẹgbẹ̀rún oṣù.,
97,4,تَنَزَّلُ ٱلۡمَلَٰٓئِكَةُ وَٱلرُّوحُ فِيهَا بِإِذۡنِ رَبِّهِم مِّن كُلِّ أَمۡرٖ,Àwọn mọlāika àti Jibrīl yó sì máa sọ̀kalẹ̀ nínú òru náà pẹ̀lú àṣẹ Olúwa wọn fún gbogbo ọ̀rọ̀ ẹ̀dá kọ̀ọ̀kan.,
97,5,سَلَٰمٌ هِيَ حَتَّىٰ مَطۡلَعِ ٱلۡفَجۡرِ,Àlàáfíà ni òru náà títí di àsìkò àfẹ̀mọ́júmọ́.,
