surah,ayah,arabic_text,translation,footnotes
109,1,قُلۡ يَٰٓأَيُّهَا ٱلۡكَٰفِرُونَ,"Sọ pé: “Ẹ̀yin aláìgbàgbọ́,",
109,2,لَآ أَعۡبُدُ مَا تَعۡبُدُونَ,Èmi kò níí jọ́sìn fún ohun tí ẹ̀ ń jọ́sìn fún.,
109,3,وَلَآ أَنتُمۡ عَٰبِدُونَ مَآ أَعۡبُدُ,Ẹ̀yin náà kò jọ́sìn fún Ẹni tí mò ń jọ́sìn fún.,
109,4,وَلَآ أَنَا۠ عَابِدٞ مَّا عَبَدتُّمۡ,Èmi kò níí jọ́sìn fún ohun tí ẹ jọ́sìn fún sẹ́.,
109,5,وَلَآ أَنتُمۡ عَٰبِدُونَ مَآ أَعۡبُدُ,Ẹ̀yin náà kò kú jọ́sìn fún Ẹni tí mò ń jọ́sìn fún.,
109,6,لَكُمۡ دِينُكُمۡ وَلِيَ دِينِ,"Tiyín ni ẹ̀sìn yín, tèmi sì ni ẹ̀sìn mi.”",
