surah,ayah,arabic_text,translation,footnotes
97,1,إِنَّآ أَنزَلۡنَٰهُ فِي لَيۡلَةِ ٱلۡقَدۡرِ,૧. અમે આ (કુરઆન) ને કદ્રની રાતમાં ઉતાર્યુ.,
97,2,وَمَآ أَدۡرَىٰكَ مَا لَيۡلَةُ ٱلۡقَدۡرِ,૨. અને તમને શું ખબર કે કદ્રની રાત શું છે?,
97,3,لَيۡلَةُ ٱلۡقَدۡرِ خَيۡرٞ مِّنۡ أَلۡفِ شَهۡرٖ,૩. કદ્રની રાત એક હજાર મહીનાઓથી ઉત્તમ રાત છે.,
97,4,تَنَزَّلُ ٱلۡمَلَٰٓئِكَةُ وَٱلرُّوحُ فِيهَا بِإِذۡنِ رَبِّهِم مِّن كُلِّ أَمۡرٖ,૪. તે (રાતમાં) ફરિશ્તાઓ અને રૂહ (જિબ્રઇલ) પોતાના પાલનહારના આદેશથી દરેક કામ માટે ઉતરે છે.,
97,5,سَلَٰمٌ هِيَ حَتَّىٰ مَطۡلَعِ ٱلۡفَجۡرِ,૫. આ રાત્રિ સંપૂર્ણ સલામતી વાળી હોય છે અને ફજરના ઉદય સુધી (રહે છે).,
