surah,ayah,arabic_text,translation,footnotes
113,1,قُلۡ أَعُوذُ بِرَبِّ ٱلۡفَلَقِ,"Ntumwa y’Imana! Vuga uti: “Ndikinze ku Mana Allah, Umuremyi w’igitondo;",
113,2,مِن شَرِّ مَا خَلَقَ,Inkingire inabi y’ivyo Yaremye vyose;,
113,3,وَمِن شَرِّ غَاسِقٍ إِذَا وَقَبَ,N’inabi y’ijoro iyo ryijimye;,
113,4,وَمِن شَرِّ ٱلنَّفَّٰثَٰتِ فِي ٱلۡعُقَدِ,N’inabi y’abarozikazi bahuha mu mapfundo mu kuroga;,
113,5,وَمِن شَرِّ حَاسِدٍ إِذَا حَسَدَ,N’inabi y’umunyeshari[1] iyo asharitse”.,"[1] Umunyeshari, ni umuntu asharika abandi abahora impano bahawe n’Imana Allah, akipfuza ko nya mpano zohona, akanababangamira mu buzima."
