surah,ayah,arabic_text,translation,footnotes
82,1,إِذَا ٱلسَّمَآءُ ٱنفَطَرَتۡ,Igihe ijuru ryasadaguritse;,
82,2,وَإِذَا ٱلۡكَوَاكِبُ ٱنتَثَرَتۡ,Igihe n’inyenyeri zahungurutse;,
82,3,وَإِذَا ٱلۡبِحَارُ فُجِّرَتۡ,Igihe n’ibiyaga vyagomorowe bigacika kimwe;,
82,4,وَإِذَا ٱلۡقُبُورُ بُعۡثِرَتۡ,Igihe n’imva zazuwe;,
82,5,عَلِمَتۡ نَفۡسٞ مَّا قَدَّمَتۡ وَأَخَّرَتۡ,"Ivyo vyose nivyashika, umuntu wese azomenya ico yakoze n’ico yirengagije, aheze agihemberwe.",
82,6,يَٰٓأَيُّهَا ٱلۡإِنسَٰنُ مَا غَرَّكَ بِرَبِّكَ ٱلۡكَرِيمِ,"Ewe muntu uhakana izurwa ry’ibiremwa! Wahenzwe n’igiki kigutuma ugarariza Imana yawe Rurema Allah, Nyenubugiraneza?",
82,7,ٱلَّذِي خَلَقَكَ فَسَوَّىٰكَ فَعَدَلَكَ,"Ni Yo Yakuremye, Iragutunganya, Iranakuringaniza neza;",
82,8,فِيٓ أَيِّ صُورَةٖ مَّا شَآءَ رَكَّبَكَ,Yakuremye uko Ishaka mw’ishusho rihambaye.,
82,9,كَلَّا بَلۡ تُكَذِّبُونَ بِٱلدِّينِ,Bantu ! Nimuteshwe mute murahumba! Murihenda mu gusenga ibigirwamana. Ahubwo mwebwe muhakana mwivuye inyuma umusi w’impera n’iharurirwa.,
82,10,وَإِنَّ عَلَيۡكُمۡ لَحَٰفِظِينَ,"Mu vy’ukuri, mufise abamalayika bajejwe kubabungabungira ivyo mukora mu kuvyandika;",
82,11,كِرَامٗا كَٰتِبِينَ,"Batewe iteka n’Imana Allah, bandika vyose ata kibacika;",
82,12,يَعۡلَمُونَ مَا تَفۡعَلُونَ,"Barazi ivyo mukora vyose, vyaba ivyiza canke ibibi.",
82,13,إِنَّ ٱلۡأَبۡرَارَ لَفِي نَعِيمٖ,"Mu vy’ukuri aberanda bubahiriza agateka k’Imana Allah n’agateka k’ibiremwa, ni ukuri bazoba bari mu nema z’Ubwami bw’ijuru.",
82,14,وَإِنَّ ٱلۡفُجَّارَ لَفِي جَحِيمٖ,"Mu vy’ukuri, n’inkozi z’ikibi zitigera zubahiriza agateka k’Imana Allah n’ak’ibiremwa, na zo zizoba ziri mu muriro ururumba;",
82,15,يَصۡلَوۡنَهَا يَوۡمَ ٱلدِّينِ,"Zizowinjira, ziwote ku musi w’impera;",
82,16,وَمَا هُمۡ عَنۡهَا بِغَآئِبِينَ,Ntizizowukira ngo ziwuvemwo canke ngo zipfe.,
82,17,وَمَآ أَدۡرَىٰكَ مَا يَوۡمُ ٱلدِّينِ,"Mbega, ni igiki cokumenyesha uwo musi w’impera ico ari co!",
82,18,ثُمَّ مَآ أَدۡرَىٰكَ مَا يَوۡمُ ٱلدِّينِ,"Hanyuma, ni igiki cokumenyesha uwo musi w’impera ico ari co!",
82,19,يَوۡمَ لَا تَمۡلِكُ نَفۡسٞ لِّنَفۡسٖ شَيۡـٔٗاۖ وَٱلۡأَمۡرُ يَوۡمَئِذٖ لِّلَّهِ,"Ni umusi umuntu ata co azomarira mugenziwe. Itegeko kuri uwo musi, ni iry’Imana Allah Yonyene.",
