surah,ayah,arabic_text,translation,footnotes
106,1,لِإِيلَٰفِ قُرَيۡشٍ,Kubera akamenyero k’Abakorayishi;,
106,2,إِۦلَٰفِهِمۡ رِحۡلَةَ ٱلشِّتَآءِ وَٱلصَّيۡفِ,"Akamenyero kabo ko kuja mu gihugu ca Yemeni kiri mu bumanuko mu rushana, no kuja mu bihugu vyo muri Shaamu biri mu buraruko mu ci, aho baja kurangura ibidandazwa, bakishira bakizana ata nkomanzi.",
106,3,فَلۡيَعۡبُدُواْ رَبَّ هَٰذَا ٱلۡبَيۡتِ,"Kubera ivyo rero, nibashimire Imana Rurema Nyene iyi ngoro ntagatifu (Al-Ka’ba), babaye hambavu yayo batekaniwe; baheze bayiyegereze mu vyo bakora vyose banayisenge ari Imwe Rudende;",
106,4,ٱلَّذِيٓ أَطۡعَمَهُم مِّن جُوعٖ وَءَامَنَهُم مِّنۡ خَوۡفِۭ,"Yo Yabafunguriye Ikabakiza inzara, Ikabaha n’umutekano, Ikanabakiza ubwoba.",
