surah,ayah,arabic_text,translation,footnotes
86,1,وَٱلسَّمَآءِ وَٱلطَّارِقِ,"Jewe Allah, Ndarahiye kw’ijuru no ku giserukajoro!",
86,2,وَمَآ أَدۡرَىٰكَ مَا ٱلطَّارِقُ,Ni igiki cokumenyesha ico ari co igiserukajoro?,
86,3,ٱلنَّجۡمُ ٱلثَّاقِبُ,Ni inyenyeri yakaka.,
86,4,إِن كُلُّ نَفۡسٖ لَّمَّا عَلَيۡهَا حَافِظٞ,"Ndarahiye kuri ivyo vyose, ko ata muntu n’umwe kiretse ko afise umubungabunzi azigama ibikorwa vyiwe mu bamalayika, kugira azobihemberwe!",
86,5,فَلۡيَنظُرِ ٱلۡإِنسَٰنُ مِمَّ خُلِقَ,"Umuntu ahakana izuka ry’ibiremwa rero, niyitegereze ico yaremwemwo, aheze amenye ko izurwa ryiwe ritagoye nk’iremwa ryiwe!",
86,6,خُلِقَ مِن مَّآءٖ دَافِقٖ,Yaremwe mu mazi y’intanga asunitswe mu gitereko;,
86,7,يَخۡرُجُ مِنۢ بَيۡنِ ٱلصُّلۡبِ وَٱلتَّرَآئِبِ,Avuye hagati y’uruti rw’umugongo w’umugabo n’igikiriza c’umugore.,
86,8,إِنَّهُۥ عَلَىٰ رَجۡعِهِۦ لَقَادِرٞ,"Mu vy’ukuri Imana Allah Yaremye umuntu mu mazi y’intanga, Irashoboye no kumugarura inyuma yo gupfa Ikamusubiza ubuzima, akazuka.",
86,9,يَوۡمَ تُبۡلَى ٱلسَّرَآئِرُ,"Umusi amabanga azoshirwa ahabona, ivyiza bikamenyekana n’ibibi bikagaragara;",
86,10,فَمَا لَهُۥ مِن قُوَّةٖ وَلَا نَاصِرٖ,"Umuntu nta bubasha azoba afise bwo kwikingira ibihano, eka nta n’umutabazi amukura mu bihano azoronka.",
86,11,وَٱلسَّمَآءِ ذَاتِ ٱلرَّجۡعِ,"Jewe Allah, Ndarahiye kw’ijuru ryenimvura yisubiriza iyo amazi kw’isi ayaze agasubira mu kirere!",
86,12,وَٱلۡأَرۡضِ ذَاتِ ٱلصَّدۡعِ,No kw’isi yiyata imigaga iyo ibiterwa bigondoye!,
86,13,إِنَّهُۥ لَقَوۡلٞ فَصۡلٞ,"Ko mu vy’ukuri, iyo Qor’ani ari amajambo atandukanya ukuri n’ikinyoma;",
86,14,وَمَا هُوَ بِٱلۡهَزۡلِ,Si n’iyo kujajura.,
86,15,إِنَّهُمۡ يَكِيدُونَ كَيۡدٗا,"Mu vy’ukuri, abahakana Intumwa Muhamadi (nyakugira amahoro n’impuhwe z’Imana Allah) hamwe na Qor’ani, bakoresha urwenge mu kurwanya ukuri.",
86,16,وَأَكِيدُ كَيۡدٗا,Nanje Allah Nkabahinyura mu kugaragaza ukuri gushika aho gutsinda.,
86,17,فَمَهِّلِ ٱلۡكَٰفِرِينَ أَمۡهِلۡهُمۡ رُوَيۡدَۢا,"Ntumwa y’Imana! Kubera ivyo rero, tenyenyera abagarariji, ntiwihutire kubasabira ibihano, bihorere ubarindire gato, bazokwibonerako bidatevye.",
