surah,ayah,arabic_text,translation,footnotes
105,1,أَلَمۡ تَرَ كَيۡفَ فَعَلَ رَبُّكَ بِأَصۡحَٰبِ ٱلۡفِيلِ,1. N’as-tu pas vu ce que fit ton Seigneur aux compagnons de l’Éléphant ?,
105,2,أَلَمۡ يَجۡعَلۡ كَيۡدَهُمۡ فِي تَضۡلِيلٖ,"2. N’a-t-Il pas déjoué leurs intrigues,",
105,3,وَأَرۡسَلَ عَلَيۡهِمۡ طَيۡرًا أَبَابِيلَ,"3. en leur envoyant des nuées d’oiseaux,",
105,4,تَرۡمِيهِم بِحِجَارَةٖ مِّن سِجِّيلٖ,4. qui leur lançaient des pierres argileuses ? ,
105,5,فَجَعَلَهُمۡ كَعَصۡفٖ مَّأۡكُولِۭ,5. Il les rendit telles des brindilles mâchées (et recrachées.).,
